Tai Po,Distance(km),Straight Distance for Drones,Average Distance,Average Straight Distance
Classical Garden,1.1,0.95,,
Hong Shing Garden Block,1.7,1.32,,
Hilltop Garden,2.4,1.55,,
Chateau De Mansion House,1.4,0.73,,
Savanna Garden,2.7,1.62,,
Constellation Cove House,2.7,2.07,,
Industrial Estate,3.2,2.18,,
Elegance Garden Block,0.6,0.3,1.975,1.34
,,,,
Hung Hom & Whampoa,,,,
Laguna Verde,0.7,0.45,,
Harbourfront Landmark,0.6,0.33,,
Hung Hom Estate,1,0.24,,
Whampoa Estate Wing Wing,0.16,0.21,,
Whampoa Garden,0.11,0.1,,
Harbour Place,0.7,0.34,,
Royal Peninsula Block,0.85,0.19,,
Harbourview Horizon,0.7,0.24,0.6025,0.2625
,,,,
Sai Kung Central,,,,
HKUST,4.1,2.44,,
Las Pinadas Block,5,3.43,,
Royal Garden,5.9,4.17,,
Marina Cove,5.9,4.71,,
Ho Chung New Village,6.5,4.6,,
Luk Fung Garden & Greenview Villas Block,6.3,5.06,5.616666667,4.068333333
,,,,
West Mid-Levels,,,,
Robinson Road,4.3,0.9,,
Conduit Road,4.5,1.1,,
Kotewall Road,3.8,1.79,4.2,1.263333333